,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
917,"['Relation=Mum', 'SectionID=B', 'StageID=HighSchool']",gender=F,class=L,0.30434782608695654,0.43478260869565216,0.7000000000000001,7.0,20.0
2823,"['Relation=Mum', 'StageID=HighSchool', 'raisedhands=50<x<75']",gender=F,class=L,0.35294117647058826,0.5,0.7058823529411765,6.0,17.0
3390,"['Relation=Mum', 'StageID=HighSchool', 'AnnouncementsView=0<x<24']",gender=F,class=L,0.29411764705882354,0.4117647058823529,0.7142857142857143,5.0,14.0
2248,"['Semester=F', 'StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'ParentAnsweringSurvey=No', 'StageID=MiddleSchool']",gender=F,class=L,0.5,0.7,0.7142857142857143,5.0,14.0
3597,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'raisedhands=x>75']",gender=F,class=L,0.25,0.35,0.7142857142857143,5.0,14.0
1412,"['ParentschoolSatisfaction=Good', 'SectionID=B', 'GradeID=G-08']",gender=F,class=L,0.5,0.7,0.7142857142857143,5.0,14.0
776,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'NationalITy=KW']",gender=F,class=L,0.38461538461538464,0.5384615384615384,0.7142857142857144,5.0,14.0
4387,"['VisITedResources=x>74', 'NationalITy=Egypt']",gender=F,class=L,0.38461538461538464,0.5384615384615384,0.7142857142857144,5.0,14.0
915,"['Semester=F', 'SectionID=B', 'StageID=HighSchool']",gender=F,class=L,0.2857142857142857,0.38095238095238093,0.75,6.0,16.0
1358,"['StudentAbsenceDays=Under-7', 'Relation=Mum', 'GradeID=G-08']",gender=F,class=L,0.42857142857142855,0.5714285714285714,0.75,6.0,16.0
2185,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'Relation=Mum', 'StageID=MiddleSchool']",gender=F,class=L,0.42857142857142855,0.5714285714285714,0.75,6.0,16.0
1742,"['Relation=Mum', 'StageID=MiddleSchool', 'Discussion=1<x<25']",gender=F,class=L,0.42857142857142855,0.5714285714285714,0.75,6.0,16.0
2646,"['StageID=HighSchool', 'PlaceofBirth=Morocco']",gender=F,class=L,0.5333333333333333,0.7,0.761904761904762,8.0,21.0
1694,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'Relation=Mum', 'Discussion=1<x<25']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
2334,"['AnnouncementsView=x<0', 'Discussion=50<x<74']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
3784,"['Relation=Mum', 'AnnouncementsView=x>73', 'raisedhands=x>75']",gender=F,class=L,0.5,0.65,0.7692307692307692,5.0,13.0
2746,"['Semester=F', 'ParentschoolSatisfaction=Good', 'StageID=MiddleSchool', 'SectionID=B']",gender=F,class=L,0.5,0.65,0.7692307692307692,5.0,13.0
1372,"['SectionID=B', 'StageID=HighSchool', 'GradeID=G-08']",gender=F,class=L,0.5,0.65,0.7692307692307692,5.0,13.0
784,"['ParentschoolSatisfaction=Good', 'Relation=Mum', 'NationalITy=KW']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
4726,"['AnnouncementsView=49<x<73', 'GradeID=G-05']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
2744,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'StageID=MiddleSchool', 'SectionID=B']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
1381,"['StudentAbsenceDays=Under-7', 'AnnouncementsView=x>73', 'GradeID=G-08']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
4170,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'Relation=Mum', 'VisITedResources=49<x<74']",gender=F,class=L,0.38461538461538464,0.5,0.7692307692307693,5.0,13.0
3565,"['AnnouncementsView=0<x<24', 'raisedhands=x>75']",gender=F,class=L,0.29411764705882354,0.38235294117647056,0.7692307692307693,5.0,13.0
4294,"['StudentAbsenceDays=Under-7', 'Relation=Mum', 'Topic=History']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
282,"['StudentAbsenceDays=Under-7', 'ParentschoolSatisfaction=Good', 'SectionID=B', 'AnnouncementsView=x>73']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
2305,"['Relation=Mum', 'VisITedResources=24<x<49', 'Discussion=50<x<74']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
2385,"['SectionID=A', 'StageID=HighSchool', 'Discussion=50<x<74']",gender=F,class=L,0.38461538461538464,0.5,0.7692307692307693,5.0,13.0
3403,"['Semester=F', 'StageID=HighSchool', 'AnnouncementsView=0<x<24']",gender=F,class=L,0.38461538461538464,0.5,0.7692307692307693,5.0,13.0
782,"['StudentAbsenceDays=Under-7', 'Relation=Mum', 'NationalITy=KW']",gender=F,class=L,0.4166666666666667,0.5416666666666666,0.7692307692307693,5.0,13.0
